"idade";"escolaridade";"anos_estudo";"estado_civil";"raca";"sexo";"salario";"classe_trabalho";"qtde_filhos";"UF";"região"
39;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";4754;"Servidor Público";2;"RO";"Norte"
50;"Superior Incompleto";13;"Casado";"Branco";"Masculino";3923;"Autônomo";1;"AC";"Norte"
38;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"AM";"Norte"
53;"Ensino Médio Incompleto";7;"Casado";"Negro";"Masculino";1100;"Funcionário Setor Privado";1;"RR";"Norte"
28;"Ensino Médio Completo";13;"Casado";"Negro";"Feminino";3430;"Funcionário Setor Privado";0;"PA";"Norte"
37;"Mestrado";14;"Casado";"Branco";"Feminino";10787;"Funcionário Setor Privado";1;"AP";"Norte"
49;"Ensino Fundamental Completo";5;"União Estável";"Negro";"Feminino";1100;"Funcionário Setor Privado";1;"TO";"Norte"
52;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";4;"MA";"Nordeste"
31;"Mestrado";14;"Solteiro";"Branco";"Feminino";6031;"Funcionário Setor Privado";4;"PI";"Nordeste"
42;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";3798;"Funcionário Setor Privado";5;"CE";"Nordeste"
37;"Superior Completo";10;"Casado";"Negro";"Masculino";10316;"Funcionário Setor Privado";4;"RN";"Nordeste"
30;"Superior Incompleto";13;"Casado";"Pardo";"Masculino";3369;"Servidor Público";5;"PB";"Nordeste"
23;"Pós-Graduado";13;"Solteiro";"Branco";"Feminino";5316;"Funcionário Setor Privado";2;"PE";"Nordeste"
32;"Ensino Médio Completo";12;"Solteiro";"Negro";"Masculino";2897;"Funcionário Setor Privado";1;"AL";"Nordeste"
40;"Ensino Médio Completo";11;"Casado";"Pardo";"Masculino";3269;"Funcionário Setor Privado";5;"SE";"Nordeste"
34;"Ensino Fundamental Incompleto";4;"Casado";"Indígena";"Masculino";1100;"Funcionário Setor Privado";5;"BA";"Nordeste"
25;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Autônomo";3;"MG";"Sudeste"
